Gender,University,Age,Type_of_Residence,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Primary_Guardian,Motivation_Level,University_Selection_Method,University_Choice_Reason,Program_Choice_Personal,Program_Satisfaction_Level,Living_Arrangement,Travel_Time_,Study_Hours_Per_Week,Failed_Classes,Num_Failed_Classes,Extra_Support_University,Changed_Major,Reason_Changed_Major,Considered_Dropout,Reason_Considered_Dropout,Adjustment_Issues,Adjustment_Difficulty,Stress_Frequency,Made_Friends,Hangout_Frequency,Social_Activity_Frequency,Extracurricular_Participation,Free_Time,Classmate_Cooperation,Mentor_Support,Internet_At_Home,In_Relationship,Relationship_Satisfaction,Family_Relationships,Overall_Health,Bullying_Frequency,PartTime_Job,Absences_Semester,Average_CGPA,CGPA_Satisfaction
M,DIU,18,U,LE3,T,4,4,Housewife ,Farmar,Father,3,Own choice,Reputation,Yes,4,Private accommodation,20,3,Yes,2,No,No,Better career opportunities in the new major,No,Personal reasons,No major issues,3,Never,Yes,3,Never,No,4,4,3,Yes,No,1,5,3,Never,No,3,0,3
M,DIU,23,U,GT3,A,4,4,Housewife ,Teacher ,Father,3,Own choice,Reputation,Yes,4,Private accommodation,20,3,No,,Yes,No,,No,,Difficulty understanding academic content,3,Often,Yes,3,Sometimes,Yes,3,3,3,Yes,Yes,5,5,5,Rarely,No,10,3.7,3
F,DIU,22,U,GT3,T,3,4,Housewife ,Engineer ,Father,3,Referred by someone,Waiver,No,3,With family,120,4,No,,Yes,No,,No,,Difficulty understanding academic content,3,Often,Yes,2,Rarely,Yes,1,4,5,Yes,Yes,5,1,2,Never,No,0,3.02,1
M,DIU,22,U,GT3,A,3,3,Teacher ,Farmer,Mother,3,Referred by someone,Near Home,Yes,2,Private accommodation,180,1,No,0,No,No,Personal or family reasons,No,Financial problems,Difficulty making friends,1,Sometimes,No,1,Never,Yes,3,4,1,No,No,2,1,1,Rarely,No,1,3,3
M,DIU,23,U,LE3,A,3,4,Housewife ,Businessman ,Father,3,Own choice,Reputation,Yes,4,In university halls,20,2,No,0,No,Yes,Recommendation from academic advisor,Yes,Academic difficulties,Difficulty understanding academic content,3,Sometimes,No,3,Rarely,Yes,1,2,3,Yes,Yes,3,3,3,Often,Yes,0,3.1,2
M,DIU,24,R,GT3,A,4,4,Teacher ,Teacher ,Father,3,Own choice,Reputation,Yes,3,Private accommodation,180,3,No,,Yes,Yes,Better career opportunities in the new major,No,,No major issues,3,Sometimes,Yes,3,Rarely,No,3,4,3,Yes,No,,5,4,Sometimes,Yes,2,3.75,3
M,DIU,21,U,GT3,A,3,4,Housewife,Businessman,Father,3,Referred by someone,Course,Yes,3,With family,60,1,No,,No,No,,No,,Difficulty understanding academic content,3,Sometimes,Yes,3,Never,No,3,4,3,Yes,Yes,4,5,4,Never,No,3,3.33,3
M,DIU,21,U,GT3,A,4,4,Housewife,Businessman ,Father,3,Own choice,Course,Yes,3,Private accommodation,150,1,No,,Yes,No,,Yes,Financial problems,No major issues,2,Sometimes,Yes,3,Sometimes,Yes,4,2,3,Yes,No,,2,3,Rarely,No,3,3.4,4
M,DIU,,U,GT3,A,3,3,Housewife,Govt job,Father,1,Referred by someone,Near Home,No,3,In university halls,20,4,No,,Yes,No,,No,,No major issues,3,Sometimes,Yes,2,Rarely,No,1,3,3,Yes,No,,4,3,Rarely,No,1,3.3,1
M,DIU,23,U,GT3,A,4,4,Housewife,Service holder ,Father,5,Referred by someone,Reputation,Yes,2,In university halls,10,3,Yes,1,Yes,No,No,No,No,No major issues,1,Never,Yes,4,Sometimes,Yes,1,1,2,Yes,No,5,5,5,Always,No,20,3,3
M,DIU,21,U,GT3,A,3,4,Housewife,Govt Job,Father,1,Own choice,Course,Yes,2,With family,120,2,No,,Yes,No,,No,,Difficulty making friends,2,Often,Yes,3,Never,No,2,3,3,Yes,Yes,5,4,3,Rarely,No,0,3.33,3
M,DIU,23,U,GT3,T,4,4,Housewife,Teacher,Father,1,Referred by someone,Reputation,Yes,1,In university halls,20,2,Yes,,No,No,,Yes,Poor teaching or learning environment,No major issues,3,Sometimes,Yes,5,Never,No,1,3,3,Yes,Yes,1,4,2,Never,No,2,2.4,1
M,DIU,23,U,GT3,A,4,4,Housewife,Working in KSA,Father,4,Referred by someone,Reputation,Yes,1,In university halls,20,2,No,0,Yes,No,,No,Family responsibilities,No major issues,3,Rarely,Yes,5,Very Often,Yes,4,3,1,Yes,No,,4,4,Never,Yes,0,3.31,2
M,DIU,24,U,GT3,A,4,4,Teacher ,Govt job,Father,3,Own choice,Reputation,No,2,Private accommodation,20,2,Yes,3,Yes,No,,No,Personal reasons,Difficulty understanding academic content,3,Sometimes,No,4,Often,Yes,3,3,3,Yes,Yes,3,2,3,Never,Yes,5,2.7,2
M,DIU,23,U,GT3,A,3,4,Housewife,Businessman ,Father,4,Own choice,Reputation,Yes,3,In university halls,10,2,No,0,Yes,No,,No,,Difficulty understanding academic content,2,Sometimes,Yes,3,Sometimes,Yes,3,3,3,Yes,No,,5,5,Never,Yes,6,3.15,3
M,DIU,23,R,GT3,A,4,4,Teacher  ,Teacher,Mother,3,Referred by someone,Reputation,Yes,3,Private accommodation,10,3,No,,Yes,No,Personal or family reasons,No,Family responsibilities,Difficulty understanding academic content,3,Sometimes,Yes,3,Often,Yes,1,3,3,Yes,Yes,4,5,3,Often,No,3,3.5,3
M,DIU,23,U,GT3,A,4,4,Teacher,Teacher,Both,3,Own choice,Near Home,Yes,2,With family,60,2,No,,Yes,No,,No,,No major issues,2,Often,Yes,2,Never,No,4,4,4,Yes,Yes,5,5,4,Never,Yes,5,3.77,5
M,DIU,23,U,GT3,A,2,1,Housewife ,Teacher ,Mother,3,Own choice,Near Home,Yes,2,In university halls,30,4,Yes,1,Yes,No,Difficulty in previous courses,Yes,Lack of interest in the program,Difficulty making friends,2,Sometimes,Yes,3,Sometimes,Yes,2,2,3,Yes,Yes,3,3,3,Sometimes,Yes,5,3.22,3
M,DIU,24,U,GT3,A,4,4,Housewife,Private job,Father,4,Own choice,Waiver,Yes,4,With family,120,2,No,0,Yes,No,Better career opportunities in the new major,No,Lack of interest in the program,Homesickness,3,Sometimes,No,3,Sometimes,No,5,3,4,No,No,3,3,4,Often,No,1,3.2,4
F,,23,U,LE3,A,4,4,,,,5,Own choice,Reputation,Yes,5,With family,60,4,No,0,Yes,No,,Yes,,No major issues,1,Never,Yes,5,Very Often,Yes,5,5,5,Yes,Yes,5,5,5,Never,Yes,4,4,5
F,DIU,23,U,GT3,A,4,4,Housewife,Businessman ,Father,3,Own choice,Near Home,Yes,3,With family,120,1,No,,No,No,,No,,No major issues,3,Sometimes,Yes,3,Never,No,4,4,3,Yes,No,,5,3,Never,No,4,3,2
F,UU,,U,LE3,T,3,3,,,,5,â€Ž ,â€Ž ,No,4,In university halls,20,2,No,0,Yes,No,,Yes,,Difficulty making friends,4,Sometimes,No,5,Sometimes,Yes,2,1,2,No,No,1,2,3,Often,Yes,5,,1
M,DIU,23,U,GT3,A,4,4,Teacher,Teacher,Both,2,Own choice,Near Home,Yes,2,With family,120,2,No,,Yes,No,,No,,No major issues,2,Often,Yes,2,Never,No,2,4,3,Yes,Yes,5,5,4,Never,Yes,5,3.77,5
F,DIU,21,U,GT3,A,3,3,Housewife,Businessman,Father,4,Own choice,Reputation,Yes,4,With family,90,2,No,,Yes,No,,No,,Difficulty making friends,3,Sometimes,No,1,Often,Yes,1,4,4,Yes,No,,4,5,Never,No,3,3.25,3
M,DIU,24,R,GT3,A,4,1,Housewife,Businessman,Father,3,Referred by someone,Course,No,4,Private accommodation,120,3,No,0,Yes,No,,No,,No major issues,3,Often,Yes,5,Rarely,Yes,4,5,4,Yes,Yes,5,5,4,Never,Yes,5,2.7,3
M,DIU,25,U,GT3,A,4,4,Housewife,Banker,Father,1,Own choice,Reputation,Yes,1,Private accommodation,120,4,No,1,Yes,No,Better career opportunities in the new major,No,Personal reasons,Homesickness,1,Never,Yes,1,Never,Yes,1,1,1,Yes,No,1,1,1,Never,No,5,3.89,5
M,DIU,21,U,LE3,A,3,3,Housewife ,Businessman ,Father,1,Own choice,Course,Yes,3,With family,20,1,No,,No,No,,No,,Homesickness,4,Rarely,Yes,3,Never,No,1,2,2,Yes,No,,4,3,Never,No,1,3.05,1
M,DIU,25,U,GT3,A,3,4,Housewife,Govt job,Mother,2,Own choice,Reputation,Yes,3,With family,180,2,No,0,Yes,No,Difficulty in previous courses,No,Academic difficulties,Homesickness,3,Rarely,Yes,1,Sometimes,Yes,2,4,2,Yes,Yes,5,5,5,Never,No,2,2.5,2
F,DIU,22,R,GT3,A,4,4,Housewife,Businessman ,Father,3,Referred by someone,Near Home,Yes,3,With family,180,3,No,0,Yes,No,,No,,Difficulty making friends,4,Often,No,1,Never,No,3,3,4,Yes,No,,5,3,Rarely,No,5,3.53,3
M,DIU,23,U,LE3,A,4,4,Teacher,Garments Manager,Father,4,Own choice,Course,Yes,4,With family,90,3,Yes,5,No,No,Better career opportunities in the new major,Yes,Family responsibilities,Difficulty making friends,1,Sometimes,No,1,Never,No,3,2,5,Yes,Yes,3,4,3,Sometimes,No,2,2.56,2
F,DIU,24,U,LE3,A,3,3,Housewife,Govt job,Father,4,Referred by someone,Reputation,Yes,2,In university halls,120,2,No,,Yes,No,,No,Academic difficulties,No major issues,3,Sometimes,No,3,Often,Yes,3,3,3,Yes,No,,3,3,Rarely,No,0,3.44,1
M,DIU,23,U,LE3,T,4,4,Marketer,Businessman ,Mother,2,Referred by someone,Near Home,No,2,With family,20,3,No,,Yes,No,,Yes,Difficulty adjusting to university life,Homesickness,4,Sometimes,No,2,Never,No,1,3,3,Yes,No,,1,2,Sometimes,Yes,0,3.29,2
F,DIU,21,R,LE3,A,4,4,Housewife ,Banker,Father,2,Referred by someone,Course,Yes,4,In university halls,20,3,No,,Yes,No,,No,,Difficulty making friends,5,Sometimes,No,1,Rarely,No,2,3,5,Yes,No,,5,1,Never,No,0,3.67,4
F,DIU,21,R,GT3,A,4,4,Housewife ,Service holder,Father,2,Own choice,Course,Yes,4,In university halls,20,3,No,,Yes,No,,No,,Homesickness,3,Often,No,3,Rarely,No,2,3,3,Yes,No,,4,4,Never,No,0,3.79,3
M,DIU,21,U,GT3,A,4,4,Housewife ,Businessman,Father,1,Own choice,Near Home,Yes,3,With family,180,1,No,,Yes,No,,No,Family responsibilities,No major issues,5,Always,Yes,1,Never,No,1,3,5,Yes,No,,2,2,Never,Yes,20,3.82,2
F,DIU,21,U,GT3,A,4,4,Teacher ,Teacher ,Father,4,Own choice,Course,Yes,4,With family,150,3,No,,Yes,No,,No,,Difficulty understanding academic content,2,Sometimes,Yes,2,Rarely,Yes,3,3,5,Yes,No,,5,4,Never,Yes,0,3.6,2
F,DIU,23,R,GT3,A,0,1,Housewife,Driver ,Father,2,Referred by someone,Reputation,Yes,1,With family,180,1,Yes,3,No,No,,No,,No major issues,3,Sometimes,Yes,5,Sometimes,No,1,2,3,No,No,1,5,1,Never,Yes,2,3.18,1
F,DIU,22,U,GT3,A,3,0,Housewife ,Dead,Mother,1,Referred by someone,Course,Yes,3,In university halls,20,2,No,,Yes,No,,Yes,Financial problems,Homesickness,3,Sometimes,Yes,2,Sometimes,No,2,5,4,Yes,No,,4,4,Never,No,4,3.75,3
M,DIU,25,U,GT3,T,4,4,Housewife,Dead,Mother,4,Own choice,Near Home,Yes,4,With family,120,3,Yes,4,Yes,No,Difficulty in previous courses,No,Financial problems,Homesickness,3,Never,Yes,4,Sometimes,No,1,1,1,Yes,No,5,5,1,Always,No,4,,3
M,DIU,24,U,GT3,A,3,4,Housewife,Teacher ,Father,4,Own choice,Playing field ,Yes,3,Private accommodation,20,1,No,,Yes,No,,No,,No major issues,1,Sometimes,Yes,3,Sometimes,Yes,3,3,3,Yes,No,,5,4,Never,No,0,4.46,4
M,DIU,24,R,LE3,A,3,3,Housewife,Businessman,Brother,3,Referred by someone,Course,Yes,3,In university halls,30,1,No,,No,No,,No,Financial problems,Difficulty understanding academic content,4,Often,Yes,4,Sometimes,No,3,3,2,Yes,Yes,3,3,2,Sometimes,No,2,3,1
M,MIST,22,U,GT3,A,4,4,Housewife ,Businessman,myself ,5,Own choice,Reputation,Yes,5,With family,150,3,No,0,Yes,No, I haven't changed ,No,no,No major issues,1,Never,Yes,4,Rarely,Yes,2,3,4,Yes,Yes,4,5,4,Never,Yes,1,3.9,5
M,DIU,25,U,GT3,A,4,4,Housewife,Service holder,Father,3,Referred by someone,Near Home,No,4,With family,150,2,No,0,Yes,No,,No,Family responsibilities,Difficulty making friends,3,Rarely,Yes,1,Never,No,1,1,3,Yes,No,,3,1,Sometimes,No,0,3.93,3
F,DIU,20,R,GT3,A,4,4,Housewife ,Survice  holder,Father,1,Own choice,Course,Yes,3,With family,120,2,No,,Yes,No,,No,,Difficulty making friends,4,Sometimes,No,1,Rarely,Yes,2,2,2,Yes,No,,5,3,Rarely,No,0,3.56,1
F,DIU,21,U,LE3,A,3,4,Housewife ,Engineer ,Father,4,Own choice,Course,Yes,3,Private accommodation,60,3,No,,No,No,Better career opportunities in the new major,No,,Homesickness,3,Often,Yes,3,Sometimes,No,1,4,3,Yes,Yes,3,3,2,Never,No,3,3.5,3
M,DIU,21,U,GT3,A,3,4,Housewife,Service holder,Father,3,Own choice,Course,Yes,4,With family,90,1,No,0,No,No,,No,,No major issues,2,Never,Yes,2,Rarely,Yes,1,4,4,Yes,No,,4,4,Never,No,1,N/A,1
M,DIU,20,R,GT3,A,3,3,Housewife,Businessman,Father,4,Own choice,Course,Yes,4,With family,240,2,No,,Yes,No,,No,,Difficulty making friends,3,Sometimes,Yes,2,Sometimes,Yes,3,4,3,Yes,No,,5,3,Never,No,2,N/A,3
M,DIU,19,U,LE3,A,4,3,Service holder,Service holder,Father,2,Referred by someone,Course,Yes,3,With family,100,3,No,,Yes,No,,No,,No major issues,2,Often,Yes,2,Sometimes,Yes,3,3,3,Yes,No,1,3,2,Never,No,3,0,4
M,DIU,22,R,GT3,A,2,3,Housewife,Businessman ,Father,4,Own choice,Course,Yes,2,In university halls,20,3,No,,Yes,No,,No,,No major issues,2,Rarely,Yes,3,Never,No,5,4,2,Yes,No,,5,5,Never,Yes,7,3.5,4
M,DIU,22,U,GT3,A,2,2,Housewife,Service holder,Father,5,Own choice,Course,Yes,4,Private accommodation,10,3,Yes,1,No,No,,No,,No major issues,3,Often,Yes,3,Rarely,Yes,3,4,4,Yes,Yes,4,4,4,Often,No,1,2.5,1
M,DIU,21,U,GT3,A,2,4,Housewife ,Businessman,Father,3,Own choice,Near Home,No,1,With family,180,1,No,,No,No,,No,,No major issues,3,Never,No,1,Never,No,1,1,1,Yes,No,5,3,5,Always,Yes,1,4,5
M,DIU,22,U,GT3,A,3,4,Housewife,Govt job,Father,3,Referred by someone,Course,No,1,With family,30,2,No,0,Yes,No,,Yes,Lack of interest in the program,Difficulty understanding academic content,4,Often,No,2,Sometimes,Yes,2,2,3,Yes,Yes,5,5,1,Sometimes,No,2,3.3,2
M,DIU,20,U,GT3,A,4,4,Housewife ,Businessman,Father,1,Own choice,Reputation,Yes,1,With family,180,4,No,0,Yes,No,,No,Getting no female in EEE,Difficulty understanding academic content,5,Always,No,1,Never,No,1,1,1,No,No,,1,5,Always,Yes,20,0,1
M,DIU,20,R,LE3,A,4,4,Service holder,,Mother,3,Own choice,Reputation,Yes,4,With family,180,2,No,0,Yes,No,No,No,Family responsibilities,No major issues,3,Never,Yes,3,Sometimes,Yes,4,3,3,Yes,No,4,5,5,Never,No,0,3.5,4
M,DIU,20,R,GT3,A,2,4,Housewife,Service holder,Father,3,Own choice,Course,Yes,4,With family,120,2,No,0,Yes,No,Better career opportunities in the new major,No,Family responsibilities,No major issues,2,Rarely,Yes,4,Sometimes,Yes,3,4,3,Yes,No,3,4,4,Never,Yes,0,3.5,4
M,DIU,21,U,LE3,A,4,4,Housewife ,Businessman,Father,3,Own choice,Course,Yes,2,With family,130,2,No,,Yes,No,,No,,No major issues,2,Rarely,Yes,2,Never,No,1,4,2,Yes,No,,5,3,Never,No,20,3.69,3
M,DIU,23,U,GT3,A,4,4,Housewife,Service holder,Father,2,Referred by someone,For waiver ,Yes,3,Private accommodation,120,1,No,,No,No,,Yes,Poor teaching or learning environment,Difficulty understanding academic content,3,Always,Yes,3,Often,Yes,1,4,1,Yes,Yes,3,5,3,Never,No,15,2.99,1
M,DIU,21,U,LE3,T,4,4,Housewife,Police ,Father,3,Referred by someone,Course,Yes,5,Private accommodation,30,4,No,0,Yes,No,Recommendation from academic advisor,No,Lack of interest in the program,No major issues,2,Sometimes,Yes,1,Sometimes,Yes,1,4,4,Yes,Yes,5,5,4,Sometimes,No,1,3.5,1
F,DIU,22,U,GT3,A,4,4,Business woman ,Businessman,Father,5,Own choice,Course,Yes,3,With family,30,2,No,,Yes,No,,No,,Difficulty understanding academic content,3,Sometimes,Yes,3,Sometimes,No,2,3,3,Yes,No,,5,3,Sometimes,No,10,3.43,5
M,DIU,19,U,GT3,T,4,4,Housewife,Teacher,Father,2,Own choice,Course,Yes,3,Private accommodation,120,2,No,,Yes,No,,No,,Homesickness,3,Sometimes,Yes,3,Sometimes,Yes,3,3,3,Yes,No,,5,5,Often,No,2,3.5,3
M,DIU,23,U,GT3,A,3,3,Housewife ,Businessman ,Father,3,Own choice,Near Home,Yes,3,With family,60,2,No,,Yes,No,,No,,Difficulty making friends,3,Sometimes,Yes,4,Rarely,No,3,3,2,Yes,No,,5,3,Rarely,No,5,3,2
M,DIU,24,R,GT3,A,4,3,Teacher,Businessman,Father,4,Own choice,Reputation,No,3,Private accommodation,100,2,No,,Yes,No,,No,,No major issues,4,Rarely,Yes,5,Rarely,Yes,4,5,4,Yes,No,,3,3,Never,Yes,2,3.67,4
M,DIU,22,U,GT3,T,4,4,Housewife ,Teacher,Father,3,Own choice,Reputation,Yes,3,Private accommodation,20,2,Yes,4,Yes,No,,No,,No major issues,2,Sometimes,Yes,3,Never,Yes,3,3,3,Yes,Yes,4,4,3,Never,No,2,7,3
M,DIU,24,U,GT3,A,3,4,Housewife,Businessman ,Father,5,Own choice,Reputation,Yes,3,With family,120,1,No,0,No,No,Personal or family reasons,No,Peer pressure or social isolation,Difficulty understanding academic content,3,Rarely,No,3,Never,No,3,1,2,No,No,1,4,5,Always,No,3,3.88,5
F,BUFT,21,U,GT3,A,3,3,Housewife ,Businessman,Father,4,Referred by someone,Near Home,No,3,With family,40,2,Yes,1,Yes,Yes,Better career opportunities in the new major,No,Lack of interest in the program,Homesickness,4,Rarely,No,4,Sometimes,Yes,4,2,4,Yes,Yes,4,4,2,Sometimes,Yes,10,3.2,3
M,DIU,25,U,GT3,A,1,2,Housewife ,Businessman,Father,4,Own choice,Near Home,Yes,4,With family,200,1,No,0,No,No,,No,,No major issues,4,Often,Yes,5,Often,Yes,3,4,3,Yes,Yes,4,4,3,Often,Yes,0,3.28,2
M,DIU,24,U,GT3,A,3,3,Housewife ,Businessman ,Father,3,Referred by someone,Course,No,3,With family,20,2,No,,Yes,No,,Yes,Love Affair,Homesickness,2,Sometimes,Yes,2,Rarely,No,2,2,2,Yes,Yes,3,3,3,Never,Yes,0,3.69,3
M,DIU,24,U,GT3,A,1,2,Housewife,Service holder,Mother,4,Own choice,Near Home,Yes,5,With family,150,4,No,,Yes,No,,No,,No major issues,2,Sometimes,Yes,4,Often,Yes,3,4,4,Yes,No,,5,4,Never,No,9,3.87,4
F,DIU,23,U,GT3,A,3,4,Housewife ,Businessman ,Father,5,Own choice,Reputation,Yes,5,In university halls,10,3,No,0,Yes,Yes,Better career opportunities in the new major,No,Not applicable (I have never considered dropping out).,Homesickness,3,Sometimes,Yes,4,Sometimes,Yes,5,4,5,Yes,Yes,4,5,4,Sometimes,No,0,3.45,3
M,DIU,23,U,GT3,A,4,4,Housewife ,Businessman,Father,4,Own choice,Course,Yes,4,With family,20,3,No,,Yes,No,,No,,No major issues,2,Sometimes,Yes,3,Sometimes,No,4,3,4,Yes,Yes,4,3,3,Never,No,0,4,4
M,DIU,22,U,GT3,A,3,3,Housewife ,Govt job,Father,3,Referred by someone,Near Home,Yes,3,With family,120,2,No,,Yes,No,,No,,Difficulty making friends,4,Sometimes,Yes,3,Often,Yes,3,3,2,Yes,No,,4,4,Rarely,No,8,3.3,2
M,DIU,24,U,GT3,A,2,2,Housewife,Corporate job,Father,4,Referred by someone,Course,Yes,3,With family,180,1,No,0,Yes,No,,Yes,Lack of interest in the program,No major issues,1,Rarely,Yes,3,Rarely,Yes,3,4,3,Yes,Yes,4,4,3,Rarely,Yes,6,3.6,4
M,DIU,23,R,GT3,A,3,1,Housewife,Businessman,Father,4,Own choice,Reputation,Yes,4,With family,200,1,No,0,Yes,No,,No,,Difficulty making friends,3,Often,Yes,4,Sometimes,Yes,3,4,3,Yes,No,,4,4,Rarely,No,4,3.5,3
F,DIU,22,U,GT3,A,4,4,Housewife ,Retired ,Father,3,Referred by someone,Near Home,Yes,4,With family,240,2,No,,Yes,No,,No,,Difficulty understanding academic content,3,Often,Yes,5,Rarely,No,3,4,5,Yes,No,,5,3,Rarely,No,20,2.63,2
F,DIU,23,R,LE3,A,4,4,Housewife ,Businessman,Father,3,Own choice,Near Home,Yes,3,Private accommodation,40,3,Yes,3,No,Yes,Better career opportunities in the new major,No,Personal reasons,No major issues,3,Sometimes,Yes,3,Sometimes,Yes,2,3,4,No,Yes,1,2,3,Sometimes,Yes,,3.25,4
F,DIU,22,U,GT3,A,3,4,Housewife ,Govt job,Father,4,Referred by someone,Reputation,No,4,With family,40,2,No,,Yes,No,,No,,No major issues,3,Often,Yes,3,Very Often,Yes,3,4,4,Yes,No,,5,4,Rarely,No,2,3.77,4
M,DIU,24,U,GT3,A,4,4,Housewife ,Service holder,Father,5,Own choice,Reputation,Yes,5,In university halls,90,4,Yes,3,Yes,Yes,Difficulty in previous courses,Yes,Health issues,Difficulty understanding academic content,5,Always,Yes,5,Very Often,Yes,5,5,5,Yes,Yes,5,5,5,Always,Yes,10,3.5,5
F,DIU,22,U,GT3,T,4,4,Business woman ,Businessman,Father,3,Referred by someone,Reputation,Yes,5,In university halls,20,3,No,1,Yes,Yes,Lack of interest in the original major,No,Personal reasons,No major issues,2,Rarely,Yes,3,Sometimes,Yes,3,5,5,Yes,No,1,5,3,Never,No,0,3.65,4
F,DIU,21,U,LE3,A,2,4,Business woman ,Dead,Mother,4,Own choice,Near Home,Yes,4,With family,150,1,No,0,Yes,No,,No,,No major issues,4,Often,Yes,4,Often,Yes,3,3,5,Yes,Yes,3,5,4,Rarely,No,3,3.4,2
M,DIU,22,U,GT3,A,3,4,Housewife,Migrate worker,Father,2,Referred by someone,Reputation,Yes,5,In university halls,20,4,Yes,2,Yes,No,Lack of interest in the original major,No,Difficulty adjusting to university life,Difficulty making friends,3,Rarely,Yes,3,Sometimes,Yes,4,4,4,Yes,Yes,4,4,3,Sometimes,Yes,1,3.2,1
M,DIU,24,R,GT3,A,4,4,Govt job,Govt job,Father,3,Referred by someone,Near Home,Yes,4,Private accommodation,20,1,No,0,Yes,Yes,Personal or family reasons,Yes,Personal reasons,Homesickness,3,Rarely,No,3,Sometimes,No,3,3,3,No,Yes,5,5,4,Always,No,5,3.11,3
F,DIU,23,R,LE3,T,4,4,Housewife,Businessman,Father,4,Own choice,Reputation,Yes,4,With family,120,2,No,,No,No,Personal or family reasons,No,Family responsibilities,Difficulty making friends,3,Sometimes,No,3,Rarely,Yes,2,4,2,Yes,No,5,2,2,Sometimes,Yes,0,3,2
M,DIU,24,R,GT3,A,3,4,Service holder,Service holder,Father,4,Own choice,Course,Yes,3,Private accommodation,120,3,Yes,,Yes,No,Recommendation from academic advisor,Yes,Difficulty adjusting to university life,No major issues,4,Sometimes,Yes,3,Sometimes,Yes,3,4,3,No,No,4,5,4,Never,Yes,9,3,3
M,DIU,23,U,LE3,A,4,4,Housewife ,Service holder,Father,4,Own choice,Near Home,No,1,With family,240,4,Yes,10,Yes,Yes,Lack of interest in the original major,Yes,Difficulty adjusting to university life,Difficulty making friends,1,Never,No,1,Never,Yes,2,3,3,Yes,Yes,1,1,1,Sometimes,No,10,10,2
M,DIU,21,U,GT3,A,4,2,Housewife,Engineer ,Father,4,Referred by someone,Near Home,Yes,4,With family,20,3,No,0,Yes,Yes,Better career opportunities in the new major,No,Health issues,Difficulty making friends,3,Sometimes,Yes,3,Never,No,3,2,3,Yes,Yes,3,5,1,Rarely,Yes,10,3.6,5
M,UU,23,U,GT3,A,2,3,Housewife,Private job,Father,4,Own choice,Near Home,Yes,3,With family,120,1,No,0,No,No,,Yes,Health issues,Difficulty understanding academic content,2,Rarely,Yes,3,Rarely,Yes,2,3,4,Yes,No,,3,1,Never,No,4,3.4,2
M,DIU,23,U,GT3,A,4,1,Housewife ,Retired,Brother,3,Own choice,Reputation,Yes,3,With family,80,3,No,,Yes,No,,No,,Homesickness,2,Often,Yes,4,Often,Yes,3,4,4,Yes,No,,4,2,Rarely,No,2,3.72,5
M,DIU,24,U,GT3,A,3,3,Housewife,Businessman,Father,4,Referred by someone,Course,Yes,3,With family,120,3,No,0,Yes,No,No,No,Personal reasons,No major issues,2,Sometimes,No,4,Rarely,No,2,3,2,Yes,Yes,1,4,3,Never,No,4,3.25,3
M,DIU,24,U,GT3,A,4,4,Housewife ,Service holder,Father,3,Referred by someone,Near Home,No,3,With family,50,2,Yes,1,No,No,Better career opportunities in the new major,No,,Homesickness,3,Never,Yes,3,Sometimes,Yes,3,3,3,Yes,No,1,3,3,Never,No,0,3,2
M,DIU,24,U,GT3,A,3,4,Housewife,Accounts Officer ,Father,5,Referred by someone,Course,No,2,With family,120,2,Yes,4,Yes,No,No Change ,No,None ,Difficulty making friends,3,Always,Yes,2,Sometimes,Yes,3,3,3,Yes,No,1,5,3,Never,Yes,12,2.9,1
M,DIU,22,U,LE3,A,2,3,Housewife,Govt job,Father,4,Referred by someone,Reputation,Yes,4,Private accommodation,20,1,Yes,1,Yes,No,,Yes,Financial problems,Homesickness,2,Rarely,Yes,5,Sometimes,Yes,5,3,4,Yes,No,,4,4,Never,No,5,3,3
M,DIU,24,U,LE3,A,4,4,Housewife ,Teacher ,Father,4,Own choice,Reputation,Yes,4,Private accommodation,20,4,No,5,No,No,Better career opportunities in the new major,No,Difficulty adjusting to university life,Difficulty making friends,4,Sometimes,Yes,4,Sometimes,Yes,3,4,3,Yes,Yes,4,3,4,Sometimes,Yes,3,3.13,3
F,DIU,22,R,GT3,A,4,4,Teacher ,Teacher,Father,1,Referred by someone,Course,Yes,2,In university halls,20,2,No,0,Yes,No,Better career opportunities in the new major,No,Lack of interest in the program,Difficulty understanding academic content,5,Sometimes,Yes,5,Sometimes,No,2,1,1,Yes,No,1,5,2,Never,No,2,3.75,1
F,DIU,23,R,GT3,A,4,4,Housewife ,Health Inspector ,Father,1,Referred by someone,Course,Yes,2,In university halls,10,2,No,0,Yes,No,Better career opportunities in the new major,No,Lack of interest in the program,Difficulty understanding academic content,5,Sometimes,Yes,5,Sometimes,No,1,1,1,Yes,No,1,5,2,Never,No,2,3,1
M,DIU,23,U,GT3,A,3,4,Housewife,Businessman,Father,2,Referred by someone,Course,Yes,1,With family,20,4,Yes,1,No,No,,No,,No major issues,2,Rarely,Yes,2,Rarely,Yes,2,2,1,Yes,No,,3,1,Rarely,Yes,4,3+,2
M,DIU,25,U,LE3,A,4,4,Housewife,Businessman ,Father,4,Own choice,Reputation,Yes,4,With family,120,4,No,,Yes,No,,Yes,Personal reasons,No major issues,1,Sometimes,Yes,5,Sometimes,Yes,3,5,4,Yes,Yes,4,5,5,Never,Yes,15,3.46,3
